OBX,Siste
02/12/2019,811.18
29/11/2019,823.58
28/11/2019,830.39
27/11/2019,834.74
26/11/2019,833.57
25/11/2019,836.93
22/11/2019,832.12
21/11/2019,822.61
20/11/2019,822.98
19/11/2019,826.58
18/11/2019,826.24
15/11/2019,826.73
14/11/2019,832.33
13/11/2019,835.23
12/11/2019,841.95
11/11/2019,843.12
08/11/2019,842.51
07/11/2019,845.13
06/11/2019,837.55
05/11/2019,835.12
04/11/2019,834.02
01/11/2019,829.75
31/10/2019,824.36
30/10/2019,832.96
29/10/2019,835.11
28/10/2019,839.21
25/10/2019,831.30
24/10/2019,835.70
23/10/2019,822.50
22/10/2019,827.92
21/10/2019,827.89
18/10/2019,821.35
17/10/2019,821.91
16/10/2019,815.28
15/10/2019,807.77
14/10/2019,800.99
11/10/2019,812.78
10/10/2019,805.78
09/10/2019,797.57
08/10/2019,799.01
07/10/2019,810.33
04/10/2019,796.37
03/10/2019,784.75
02/10/2019,794.90
01/10/2019,814.12
30/09/2019,814.01
27/09/2019,813.95
26/09/2019,810.03
25/09/2019,809.09
24/09/2019,818.96
23/09/2019,826.86
20/09/2019,832.56
19/09/2019,826.62
18/09/2019,827.12
17/09/2019,819.51
16/09/2019,828.33
13/09/2019,816.63
12/09/2019,811.71
11/09/2019,815.01
10/09/2019,801.97
09/09/2019,795.68
06/09/2019,797.17
05/09/2019,806.51
04/09/2019,787.21
03/09/2019,779.92
02/09/2019,788.08
30/08/2019,788.95
29/08/2019,782.67
28/08/2019,770.05
27/08/2019,771.85
26/08/2019,765.02
23/08/2019,770.25
22/08/2019,774.86
21/08/2019,774.52
20/08/2019,770.48
19/08/2019,771.84
16/08/2019,761.87
15/08/2019,754.19
14/08/2019,757.43
13/08/2019,775.83
12/08/2019,767.71
09/08/2019,770.63
08/08/2019,775.68
07/08/2019,763.64
06/08/2019,771.09
05/08/2019,768.11
02/08/2019,785.75
01/08/2019,795.47
31/07/2019,791.90
30/07/2019,785.12
29/07/2019,797.28
26/07/2019,800.34
25/07/2019,796.68
24/07/2019,805.38
23/07/2019,808.96
22/07/2019,799.19
19/07/2019,797.98
18/07/2019,795.67
17/07/2019,800.34
16/07/2019,806.77
15/07/2019,814.19
12/07/2019,815.05
11/07/2019,816.30
10/07/2019,814.76
09/07/2019,815.66
08/07/2019,823.87
05/07/2019,818.14
04/07/2019,820.53
03/07/2019,812.19
02/07/2019,810.10
01/07/2019,811.20
28/06/2019,798.18
27/06/2019,798.78
26/06/2019,796.82
25/06/2019,797.16
24/06/2019,804.65
21/06/2019,806.28
20/06/2019,804.06
19/06/2019,799.32
18/06/2019,802.03
17/06/2019,792.41
14/06/2019,798.20
13/06/2019,794.50
12/06/2019,794.47
11/06/2019,808.55
07/06/2019,803.05
06/06/2019,795.90
05/06/2019,793.53
04/06/2019,793.17
03/06/2019,796.36
31/05/2019,784.31
29/05/2019,785.29
28/05/2019,804.50
27/05/2019,808.11
24/05/2019,807.20
23/05/2019,800.43
22/05/2019,819.21
21/05/2019,820.93
20/05/2019,817.86
16/05/2019,814.62
15/05/2019,797.65
14/05/2019,796.55
13/05/2019,793.49
10/05/2019,801.30
09/05/2019,789.53
08/05/2019,802.37
07/05/2019,801.05
06/05/2019,804.80
03/05/2019,811.13
02/05/2019,808.69
30/04/2019,812.14
29/04/2019,814.68
26/04/2019,814.26
25/04/2019,814.68
24/04/2019,821.14
23/04/2019,822.62
17/04/2019,818.41
16/04/2019,816.59
15/04/2019,817.26
12/04/2019,812.44
11/04/2019,811.87
10/04/2019,812.39
09/04/2019,809.01
08/04/2019,818.27
05/04/2019,812.13
04/04/2019,807.94
03/04/2019,813.16
02/04/2019,808.63
01/04/2019,803.06
29/03/2019,793.33
28/03/2019,798.35
27/03/2019,798.94
26/03/2019,799.82
25/03/2019,798.63
22/03/2019,806.13
21/03/2019,820.55
20/03/2019,817.75
19/03/2019,821.67
18/03/2019,818.21
15/03/2019,813.25
14/03/2019,815.15
13/03/2019,806.75
12/03/2019,798.81
11/03/2019,796.63
08/03/2019,797.39
07/03/2019,802.09
06/03/2019,807.07
05/03/2019,803.40
04/03/2019,802.91
01/03/2019,799.84
28/02/2019,798.85
27/02/2019,803.80
26/02/2019,806.88
25/02/2019,807.48
22/02/2019,805.03
21/02/2019,800.78
20/02/2019,797.29
19/02/2019,799.45
18/02/2019,800.96
15/02/2019,800.39
14/02/2019,788.86
13/02/2019,795.17
12/02/2019,784.03
11/02/2019,774.23
08/02/2019,769.50
07/02/2019,784.65
06/02/2019,786.44
05/02/2019,791.98
04/02/2019,777.86
01/02/2019,776.12
31/01/2019,774.88
30/01/2019,774.76
29/01/2019,775.62
28/01/2019,768.23
25/01/2019,777.79
24/01/2019,780.81
23/01/2019,782.68
22/01/2019,786.87
21/01/2019,794.77
18/01/2019,793.40
17/01/2019,779.78
16/01/2019,779.98
15/01/2019,778.83
14/01/2019,775.90
11/01/2019,778.87
10/01/2019,779.69
09/01/2019,781.46
08/01/2019,773.42
07/01/2019,768.71
04/01/2019,769.48
03/01/2019,748.82
02/01/2019,742.03
28/12/2018,739.42
27/12/2018,726.33
21/12/2018,745.93
20/12/2018,746.55
19/12/2018,765.55
18/12/2018,756.32
17/12/2018,759.10
14/12/2018,768.56
13/12/2018,775.52
12/12/2018,781.48
11/12/2018,773.27
10/12/2018,763.22
07/12/2018,782.03
06/12/2018,764.60
05/12/2018,792.64
04/12/2018,803.93
03/12/2018,806.99
30/11/2018,790.91
29/11/2018,792.52
28/11/2018,786.87
27/11/2018,789.36
26/11/2018,787.10
23/11/2018,772.42
22/11/2018,784.38
21/11/2018,791.23
20/11/2018,777.36
19/11/2018,797.40
16/11/2018,804.77
15/11/2018,798.75
14/11/2018,804.39
13/11/2018,810.65
12/11/2018,822.43
09/11/2018,819.23
08/11/2018,824.60
07/11/2018,827.05
06/11/2018,823.83
05/11/2018,826.97
02/11/2018,822.26
01/11/2018,819.73
31/10/2018,825.60
30/10/2018,806.74
29/10/2018,814.04
26/10/2018,802.39
25/10/2018,811.04
24/10/2018,807.56
23/10/2018,804.07
22/10/2018,820.95
19/10/2018,837.71
18/10/2018,825.69
17/10/2018,839.99
16/10/2018,840.29
15/10/2018,831.42
12/10/2018,830.31
11/10/2018,827.83
10/10/2018,849.44
09/10/2018,857.29
08/10/2018,853.45
05/10/2018,859.42
04/10/2018,861.84
03/10/2018,870.72
02/10/2018,877.17
01/10/2018,875.15
28/09/2018,871.27
27/09/2018,874.46
26/09/2018,874.96
25/09/2018,881.01
24/09/2018,865.37
21/09/2018,855.42
20/09/2018,850.32
19/09/2018,845.18
18/09/2018,847.41
17/09/2018,843.59
14/09/2018,840.66
13/09/2018,838.96
12/09/2018,839.58
11/09/2018,834.57
10/09/2018,832.63
07/09/2018,828.41
06/09/2018,834.12
05/09/2018,832.65
04/09/2018,839.79
03/09/2018,842.87
31/08/2018,840.23
30/08/2018,845.60
29/08/2018,849.18
28/08/2018,848.07
27/08/2018,845.92
24/08/2018,840.00
23/08/2018,838.92
22/08/2018,839.98
21/08/2018,838.73
20/08/2018,837.16
17/08/2018,824.40
16/08/2018,822.61
15/08/2018,816.78
14/08/2018,829.52
13/08/2018,830.77
10/08/2018,830.56
09/08/2018,841.21
08/08/2018,839.25
07/08/2018,837.73
06/08/2018,824.55
03/08/2018,823.36
02/08/2018,823.44
01/08/2018,825.77
31/07/2018,827.84
30/07/2018,822.39
27/07/2018,823.75
26/07/2018,814.39
25/07/2018,817.37
24/07/2018,814.44
23/07/2018,810.54
20/07/2018,808.31
19/07/2018,806.91
18/07/2018,805.63
17/07/2018,803.00
16/07/2018,801.46
13/07/2018,808.09
12/07/2018,818.23
11/07/2018,826.56
10/07/2018,833.58
09/07/2018,824.06
06/07/2018,812.79
05/07/2018,817.98
04/07/2018,814.48
03/07/2018,812.52
02/07/2018,807.33
29/06/2018,813.68
28/06/2018,809.93
27/06/2018,815.51
26/06/2018,803.92
25/06/2018,801.91
22/06/2018,813.64
21/06/2018,803.74
20/06/2018,812.66
19/06/2018,816.50
18/06/2018,818.95
15/06/2018,825.45
14/06/2018,826.67
13/06/2018,823.73
12/06/2018,826.64
11/06/2018,828.87
08/06/2018,822.02
07/06/2018,819.02
06/06/2018,809.13
05/06/2018,805.43
04/06/2018,809.06
01/06/2018,807.30
31/05/2018,802.67
30/05/2018,799.61
29/05/2018,796.03
28/05/2018,797.21
25/05/2018,794.01
24/05/2018,804.01
23/05/2018,810.37
22/05/2018,819.25
18/05/2018,823.63
16/05/2018,816.84
15/05/2018,812.46
14/05/2018,807.25
11/05/2018,810.35
09/05/2018,811.43
08/05/2018,807.31
07/05/2018,805.36
04/05/2018,796.63
03/05/2018,796.91
02/05/2018,802.57
30/04/2018,793.99
27/04/2018,797.06
26/04/2018,797.80
25/04/2018,774.28
24/04/2018,784.12
23/04/2018,783.00
20/04/2018,778.22
19/04/2018,783.17
18/04/2018,781.74
17/04/2018,770.76
16/04/2018,770.74
13/04/2018,772.74
12/04/2018,768.86
11/04/2018,766.23
10/04/2018,764.43
09/04/2018,748.66
06/04/2018,746.82
05/04/2018,750.89
04/04/2018,734.21
03/04/2018,743.80
28/03/2018,736.13
27/03/2018,737.57
26/03/2018,730.63
23/03/2018,732.01
22/03/2018,726.46
21/03/2018,736.72
20/03/2018,733.22
19/03/2018,729.10
16/03/2018,737.95
15/03/2018,737.51
14/03/2018,741.60
13/03/2018,747.77
12/03/2018,748.68
09/03/2018,749.36
08/03/2018,747.30
07/03/2018,744.72
06/03/2018,749.90
05/03/2018,735.11
02/03/2018,727.30
01/03/2018,742.24
28/02/2018,751.32
27/02/2018,750.56
26/02/2018,751.90
23/02/2018,754.35
22/02/2018,743.75
21/02/2018,743.80
20/02/2018,741.76
19/02/2018,739.27
16/02/2018,742.18
15/02/2018,734.00
14/02/2018,726.97
13/02/2018,732.38
12/02/2018,731.31
09/02/2018,721.54
08/02/2018,729.67
07/02/2018,733.22
06/02/2018,718.76
05/02/2018,735.48
02/02/2018,739.38
01/02/2018,746.39
31/01/2018,738.49
30/01/2018,736.89
29/01/2018,746.99
26/01/2018,751.90
25/01/2018,755.87
24/01/2018,763.37
23/01/2018,766.12
22/01/2018,767.58
19/01/2018,761.58
18/01/2018,760.20
17/01/2018,762.70
16/01/2018,766.72
15/01/2018,766.43
12/01/2018,765.94
11/01/2018,766.33
10/01/2018,766.88
09/01/2018,766.75
08/01/2018,761.58
05/01/2018,760.51
04/01/2018,754.48
03/01/2018,745.73
02/01/2018,743.88
29/12/2017,742.80
28/12/2017,747.22
27/12/2017,744.59
22/12/2017,737.56
21/12/2017,738.48
20/12/2017,729.98
19/12/2017,731.37
18/12/2017,730.74
15/12/2017,721.98
14/12/2017,726.26
13/12/2017,729.41
12/12/2017,732.69
11/12/2017,724.16
08/12/2017,718.72
07/12/2017,714.56
06/12/2017,719.23
05/12/2017,724.77
04/12/2017,733.47
01/12/2017,730.90
30/11/2017,729.52
29/11/2017,728.50
28/11/2017,727.18
27/11/2017,725.50
24/11/2017,732.88
23/11/2017,736.58
22/11/2017,739.28
21/11/2017,739.67
20/11/2017,732.05
17/11/2017,728.27
16/11/2017,734.63
15/11/2017,727.85
14/11/2017,733.02
13/11/2017,737.10
10/11/2017,738.17
09/11/2017,740.30
08/11/2017,750.98
07/11/2017,749.33
06/11/2017,747.94
03/11/2017,745.66
02/11/2017,741.86
01/11/2017,748.32
31/10/2017,739.93
30/10/2017,743.19
27/10/2017,734.64
26/10/2017,728.85
25/10/2017,732.00
24/10/2017,724.46
23/10/2017,726.08
20/10/2017,727.53
19/10/2017,719.80
18/10/2017,720.12
17/10/2017,719.74
16/10/2017,722.42
13/10/2017,723.50
12/10/2017,720.86
11/10/2017,718.61
10/10/2017,717.84
09/10/2017,715.02
06/10/2017,714.02
05/10/2017,719.41
04/10/2017,714.04
03/10/2017,718.96
02/10/2017,715.30
29/09/2017,713.68
28/09/2017,713.42
27/09/2017,709.78
26/09/2017,705.09
25/09/2017,707.89
22/09/2017,702.98
21/09/2017,702.32
20/09/2017,695.38
19/09/2017,694.04
18/09/2017,692.90
15/09/2017,688.98
14/09/2017,692.78
13/09/2017,691.87
12/09/2017,686.62
11/09/2017,682.47
08/09/2017,675.77
07/09/2017,677.39
06/09/2017,675.43
05/09/2017,678.64
04/09/2017,675.39
01/09/2017,676.46
31/08/2017,669.91
30/08/2017,660.97
29/08/2017,654.53
28/08/2017,659.97
25/08/2017,661.90
24/08/2017,662.12
23/08/2017,659.63
22/08/2017,661.14
21/08/2017,655.72
18/08/2017,655.81
17/08/2017,656.37
16/08/2017,665.47
15/08/2017,659.24
14/08/2017,664.08
11/08/2017,656.80
10/08/2017,663.78
09/08/2017,669.74
08/08/2017,669.93
07/08/2017,670.06
04/08/2017,665.51
03/08/2017,663.73
02/08/2017,663.37
01/08/2017,665.01
31/07/2017,660.35
28/07/2017,662.55
27/07/2017,661.98
26/07/2017,662.15
25/07/2017,653.28
24/07/2017,652.01
21/07/2017,650.92
20/07/2017,661.09
19/07/2017,654.96
18/07/2017,652.13
17/07/2017,655.43
14/07/2017,647.02
13/07/2017,647.89
12/07/2017,642.87
11/07/2017,628.61
10/07/2017,628.52
07/07/2017,622.81
06/07/2017,628.07
05/07/2017,628.28
04/07/2017,634.63
03/07/2017,632.12
30/06/2017,625.42
29/06/2017,622.00
28/06/2017,625.23
27/06/2017,620.96
26/06/2017,620.06
23/06/2017,619.88
22/06/2017,620.58
21/06/2017,627.23
20/06/2017,630.73
19/06/2017,632.73
16/06/2017,626.88
15/06/2017,624.55
14/06/2017,635.70
13/06/2017,638.04
12/06/2017,640.77
09/06/2017,634.15
08/06/2017,632.56
07/06/2017,639.17
06/06/2017,635.58
02/06/2017,637.77
01/06/2017,639.89
31/05/2017,636.97
30/05/2017,645.70
29/05/2017,646.39
26/05/2017,645.87
24/05/2017,653.53
23/05/2017,649.84
22/05/2017,652.57
19/05/2017,652.22
18/05/2017,642.21
16/05/2017,657.13
15/05/2017,653.15
12/05/2017,648.55
11/05/2017,646.04
10/05/2017,646.67
09/05/2017,646.78
08/05/2017,639.75
05/05/2017,636.74
04/05/2017,625.68
03/05/2017,629.14
02/05/2017,630.37
28/04/2017,623.66
27/04/2017,625.48
26/04/2017,625.48
25/04/2017,625.81
24/04/2017,619.05
21/04/2017,611.29
20/04/2017,611.92
19/04/2017,611.53
18/04/2017,615.08
12/04/2017,626.32
11/04/2017,622.99
10/04/2017,624.61
07/04/2017,622.47
06/04/2017,622.02
05/04/2017,623.29
04/04/2017,617.05
03/04/2017,622.46
31/03/2017,618.27
30/03/2017,622.73
29/03/2017,617.26
28/03/2017,615.98
27/03/2017,609.92
24/03/2017,622.48
23/03/2017,623.29
22/03/2017,623.89
21/03/2017,632.42
20/03/2017,632.61
17/03/2017,632.98
16/03/2017,632.56
15/03/2017,627.40
14/03/2017,624.07
13/03/2017,629.87
10/03/2017,628.43
09/03/2017,619.74
08/03/2017,621.11
07/03/2017,622.36
06/03/2017,620.18
03/03/2017,621.03
02/03/2017,628.45
01/03/2017,625.93
28/02/2017,619.20
27/02/2017,616.80
24/02/2017,615.93
23/02/2017,621.95
22/02/2017,623.50
21/02/2017,628.69
20/02/2017,620.56
17/02/2017,617.18
16/02/2017,622.16
15/02/2017,623.67
14/02/2017,629.82
13/02/2017,632.29
10/02/2017,626.14
09/02/2017,624.09
08/02/2017,627.18
07/02/2017,630.84
06/02/2017,631.58
03/02/2017,632.32
02/02/2017,623.64
01/02/2017,631.62
31/01/2017,623.54
30/01/2017,628.02
27/01/2017,638.35
26/01/2017,640.20
25/01/2017,640.45
24/01/2017,633.91
23/01/2017,628.80
20/01/2017,632.79
19/01/2017,631.04
18/01/2017,625.88
17/01/2017,622.69
16/01/2017,623.98
13/01/2017,628.74
12/01/2017,625.97
11/01/2017,627.70
10/01/2017,623.43
09/01/2017,622.29
06/01/2017,627.70
05/01/2017,629.91
04/01/2017,625.87
03/01/2017,627.99
02/01/2017,625.19
30/12/2016,617.75
29/12/2016,620.45
28/12/2016,620.07
27/12/2016,617.94
23/12/2016,614.42
22/12/2016,612.53
21/12/2016,610.91
20/12/2016,613.28
19/12/2016,613.62
16/12/2016,615.52
15/12/2016,610.06
14/12/2016,615.54
13/12/2016,618.11
12/12/2016,621.02
09/12/2016,617.26
08/12/2016,611.66
07/12/2016,602.16
06/12/2016,595.03
05/12/2016,595.56
02/12/2016,589.64
01/12/2016,595.02
30/11/2016,588.53
29/11/2016,580.68
28/11/2016,585.98
25/11/2016,589.26
24/11/2016,589.19
23/11/2016,587.67
22/11/2016,587.61
21/11/2016,584.24
18/11/2016,578.95
17/11/2016,579.29
16/11/2016,576.80
15/11/2016,578.51
14/11/2016,571.17
11/11/2016,572.52
10/11/2016,577.65
09/11/2016,570.05
08/11/2016,567.59
07/11/2016,564.95
04/11/2016,557.99
03/11/2016,562.23
02/11/2016,558.83
01/11/2016,570.35
31/10/2016,569.62
28/10/2016,573.68
27/10/2016,573.88
26/10/2016,564.64
25/10/2016,577.00
24/10/2016,573.04
21/10/2016,572.32
20/10/2016,569.16
19/10/2016,568.76
18/10/2016,563.93
17/10/2016,562.15
14/10/2016,567.43
13/10/2016,560.55
12/10/2016,564.99
11/10/2016,568.46
10/10/2016,569.46
07/10/2016,559.26
06/10/2016,563.15
05/10/2016,561.16
04/10/2016,560.09
03/10/2016,551.96
30/09/2016,552.21
29/09/2016,552.54
28/09/2016,539.06
27/09/2016,534.09
26/09/2016,538.37
23/09/2016,547.05
22/09/2016,548.07
21/09/2016,540.26
20/09/2016,539.18
19/09/2016,537.42
16/09/2016,531.08
15/09/2016,527.01
14/09/2016,532.31
13/09/2016,532.54
12/09/2016,537.80
09/09/2016,547.81
08/09/2016,553.56
07/09/2016,555.34
06/09/2016,552.04
05/09/2016,557.13
02/09/2016,553.56
01/09/2016,546.54
31/08/2016,550.03
30/08/2016,553.09
29/08/2016,548.19
26/08/2016,549.80
25/08/2016,548.19
24/08/2016,550.57
23/08/2016,550.22
22/08/2016,544.78
19/08/2016,544.39
18/08/2016,541.82
17/08/2016,539.05
16/08/2016,549.29
15/08/2016,549.77
12/08/2016,552.52
11/08/2016,552.90
10/08/2016,552.21
09/08/2016,555.18
08/08/2016,547.30
05/08/2016,545.58
04/08/2016,541.27
03/08/2016,534.62
02/08/2016,537.70
01/08/2016,542.88
29/07/2016,545.55
28/07/2016,549.15
27/07/2016,557.03
26/07/2016,554.94
25/07/2016,553.50
22/07/2016,560.82
21/07/2016,567.10
20/07/2016,560.03
19/07/2016,560.46
18/07/2016,554.96
15/07/2016,558.39
14/07/2016,557.23
13/07/2016,555.59
12/07/2016,553.57
11/07/2016,557.30
08/07/2016,548.15
07/07/2016,546.68
06/07/2016,531.41
05/07/2016,536.13
04/07/2016,546.92
01/07/2016,550.52
30/06/2016,541.23
29/06/2016,538.59
28/06/2016,526.66
27/06/2016,513.73
24/06/2016,531.37
23/06/2016,549.79
22/06/2016,545.75
21/06/2016,541.47
20/06/2016,541.98
17/06/2016,529.45
16/06/2016,514.03
15/06/2016,527.15
14/06/2016,525.10
13/06/2016,532.95
10/06/2016,540.50
09/06/2016,548.57
08/06/2016,557.96
07/06/2016,557.00
06/06/2016,550.14
03/06/2016,544.00
02/06/2016,546.62
01/06/2016,546.77
31/05/2016,553.17
30/05/2016,558.91
27/05/2016,555.41
26/05/2016,558.78
25/05/2016,556.15
24/05/2016,547.57
23/05/2016,542.57
20/05/2016,542.69
19/05/2016,533.28
18/05/2016,543.74
13/05/2016,535.89
12/05/2016,538.50
11/05/2016,537.26
10/05/2016,533.84
09/05/2016,532.26
06/05/2016,534.75
04/05/2016,534.97
03/05/2016,532.21
02/05/2016,540.87
29/04/2016,545.30
28/04/2016,549.36
27/04/2016,544.27
26/04/2016,532.90
25/04/2016,530.70
22/04/2016,533.77
21/04/2016,538.31
20/04/2016,535.52
19/04/2016,534.23
18/04/2016,524.21
15/04/2016,523.62
14/04/2016,527.69
13/04/2016,528.35
12/04/2016,513.64
11/04/2016,510.83
08/04/2016,505.37
07/04/2016,499.92
06/04/2016,501.85
05/04/2016,499.59
04/04/2016,506.47
01/04/2016,508.78
31/03/2016,516.97
30/03/2016,524.81
29/03/2016,510.28
23/03/2016,526.07
22/03/2016,529.25
21/03/2016,528.66
18/03/2016,530.68
17/03/2016,527.06
16/03/2016,526.71
15/03/2016,523.88
14/03/2016,530.37
11/03/2016,526.07
10/03/2016,523.73
09/03/2016,525.02
08/03/2016,527.06
07/03/2016,527.20
04/03/2016,528.40
03/03/2016,517.40
02/03/2016,512.06
01/03/2016,515.04
29/02/2016,512.18
26/02/2016,507.21
25/02/2016,497.61
24/02/2016,486.16
23/02/2016,502.53
22/02/2016,506.16
19/02/2016,492.17
18/02/2016,500.57
17/02/2016,496.84
16/02/2016,475.76
15/02/2016,483.17
12/02/2016,466.58
11/02/2016,459.84
10/02/2016,474.99
09/02/2016,477.24
08/02/2016,481.58
05/02/2016,503.15
04/02/2016,494.94
03/02/2016,481.89
02/02/2016,480.45
01/02/2016,494.68
29/01/2016,500.38
28/01/2016,492.99
27/01/2016,485.47
26/01/2016,488.80
25/01/2016,483.75
22/01/2016,488.89
21/01/2016,467.80
20/01/2016,456.92
19/01/2016,480.20
18/01/2016,466.46
15/01/2016,471.97
14/01/2016,478.47
13/01/2016,489.32
12/01/2016,486.22
11/01/2016,488.09
08/01/2016,496.71
07/01/2016,498.56
06/01/2016,513.35
05/01/2016,520.27
04/01/2016,530.60
30/12/2015,538.98
29/12/2015,539.11
28/12/2015,533.00
23/12/2015,536.86
22/12/2015,521.10
21/12/2015,523.20
18/12/2015,523.49
17/12/2015,534.87
16/12/2015,539.09
15/12/2015,536.56
14/12/2015,520.81
11/12/2015,528.60
10/12/2015,537.64
09/12/2015,543.47
08/12/2015,539.03
07/12/2015,548.44
04/12/2015,546.81
03/12/2015,557.00
02/12/2015,566.10
01/12/2015,565.95
30/11/2015,561.85
27/11/2015,559.61
26/11/2015,562.53
25/11/2015,558.13
24/11/2015,558.16
23/11/2015,558.12
20/11/2015,559.47
19/11/2015,562.03
18/11/2015,561.64
17/11/2015,556.21
16/11/2015,547.74
13/11/2015,543.83
12/11/2015,546.46
11/11/2015,558.56
10/11/2015,558.93
09/11/2015,563.45
06/11/2015,562.36
05/11/2015,564.64
04/11/2015,569.43
03/11/2015,558.67
02/11/2015,552.05
30/10/2015,549.11
29/10/2015,549.72
28/10/2015,557.20
27/10/2015,550.69
26/10/2015,558.80
23/10/2015,560.37
22/10/2015,551.89
21/10/2015,550.33
20/10/2015,549.15
19/10/2015,550.53
16/10/2015,550.21
15/10/2015,550.32
14/10/2015,544.11
13/10/2015,545.50
12/10/2015,548.86
09/10/2015,555.16
08/10/2015,551.25
07/10/2015,559.41
06/10/2015,548.82
05/10/2015,537.37
02/10/2015,517.72
01/10/2015,522.20
30/09/2015,517.70
29/09/2015,507.25
28/09/2015,506.18
25/09/2015,515.95
24/09/2015,503.60
23/09/2015,512.28
22/09/2015,516.17
21/09/2015,523.98
18/09/2015,521.07
17/09/2015,529.53
16/09/2015,525.28
15/09/2015,516.22
14/09/2015,512.50
11/09/2015,516.82
10/09/2015,522.77
09/09/2015,534.53
08/09/2015,527.98
07/09/2015,518.53
04/09/2015,520.31
03/09/2015,535.08
02/09/2015,521.29
01/09/2015,521.80
31/08/2015,532.26
28/08/2015,532.04
27/08/2015,525.41
26/08/2015,515.40
25/08/2015,511.66
24/08/2015,497.90
21/08/2015,525.22
20/08/2015,533.82
19/08/2015,543.87
18/08/2015,549.38
17/08/2015,549.68
14/08/2015,549.86
13/08/2015,557.90
12/08/2015,555.20
11/08/2015,560.99
10/08/2015,571.66
07/08/2015,573.17
06/08/2015,571.17
05/08/2015,579.22
04/08/2015,574.00
03/08/2015,575.03
31/07/2015,574.48
30/07/2015,577.69
29/07/2015,574.52
28/07/2015,564.44
27/07/2015,562.89
24/07/2015,577.50
23/07/2015,581.10
22/07/2015,580.53
21/07/2015,586.62
20/07/2015,584.23
17/07/2015,584.53
16/07/2015,587.23
15/07/2015,584.63
14/07/2015,582.17
13/07/2015,577.15
10/07/2015,573.23
09/07/2015,565.67
08/07/2015,558.06
07/07/2015,555.32
06/07/2015,559.76
03/07/2015,566.45
02/07/2015,571.15
01/07/2015,568.69
30/06/2015,568.41
29/06/2015,571.79
26/06/2015,582.46
25/06/2015,583.49
24/06/2015,586.23
23/06/2015,583.31
22/06/2015,578.91
19/06/2015,571.64
18/06/2015,568.55
17/06/2015,571.64
16/06/2015,568.80
15/06/2015,567.05
12/06/2015,575.36
11/06/2015,584.07
10/06/2015,582.30
09/06/2015,581.99
08/06/2015,588.88
05/06/2015,587.34
04/06/2015,586.24
03/06/2015,592.10
02/06/2015,587.50
01/06/2015,581.58
29/05/2015,581.86
28/05/2015,582.29
27/05/2015,584.15
26/05/2015,580.81
22/05/2015,589.57
21/05/2015,590.29
20/05/2015,588.50
19/05/2015,588.66
18/05/2015,590.67
15/05/2015,591.12
13/05/2015,596.17
12/05/2015,589.92
11/05/2015,592.80
08/05/2015,586.56
